date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2022-12-31,003550,224706000000.0,1692174000000.0,1916880000000.0
2023-12-31,034220,,,
2023-09-30,034220,37330000000.0,4747957000000.0,4785287000000.0
2023-06-30,034220,-172622000000.0,4911193000000.0,4738571000000.0
2023-03-31,034220,-383434000000.0,4794490000000.0,4411056000000.0
2022-12-31,034220,-20075000000.0,7321703000000.0,7301628000000.0
2023-12-31,051900,811951323550.0,755263627400.0,1567214950950.0
2023-09-30,051900,922314836740.0,823866189800.0,1746181026540.0
2023-06-30,051900,987861011710.0,819858986560.0,1807719998270.0
2023-03-31,051900,904791116480.0,778932277880.0,1683723394360.0
2022-12-31,051900,1004919026270.0,802842134310.0,1807761160580.0
2023-12-31,051905,811951323550.0,755263627400.0,1567214950950.0
2023-09-30,051905,922314836740.0,823866189800.0,1746181026540.0
2023-06-30,051905,987861011710.0,819858986560.0,1807719998270.0
2023-03-31,051905,904791116480.0,778932277880.0,1683723394360.0
2022-12-31,051905,1004919026270.0,802842134310.0,1807761160580.0
2023-09-30,373220,1341569000000.0,6881973000000.0,8223542000000.0
2023-06-30,373220,1334076000000.0,7439411000000.0,8773487000000.0
2023-03-31,373220,1294210000000.0,7452907000000.0,8747117000000.0
2022-12-31,373220,1298651000000.0,7238892000000.0,8537543000000.0
2023-09-30,003555,606858000000.0,1254887000000.0,1861745000000.0
2023-06-30,003555,560644000000.0,1338770000000.0,1899414000000.0
2023-03-31,003555,604425000000.0,1044624000000.0,1649049000000.0
2022-12-31,003555,224706000000.0,1692174000000.0,1916880000000.0
2023-12-31,032640,2907228000000.0,913647000000.0,3820875000000.0
2023-09-30,032640,2893839000000.0,687238000000.0,3581077000000.0
2023-06-30,032640,2889424000000.0,539907000000.0,3429331000000.0
2023-03-31,032640,2809860000000.0,731483000000.0,3541343000000.0
2022-12-31,032640,2860232000000.0,750377000000.0,3610609000000.0
2023-12-31,011070,760969762520.0,6797668276550.0,7558638039070.0
2023-09-30,011070,435392453960.0,4328188741350.0,4763581195310.0
2023-06-30,011070,266809032090.0,3640399674340.0,3907208706430.0
2023-03-31,011070,400144609780.0,3975717491780.0,4375862101560.0
2022-12-31,011070,533179373310.0,6014537003610.0,6547716376920.0
2023-12-31,066570,4735228000000.0,18368868000000.0,23104096000000.0
2023-09-30,066570,5011480000000.0,15697860000000.0,20709340000000.0
2023-06-30,066570,4886004000000.0,15112453000000.0,19998457000000.0
2023-03-31,066570,5169943000000.0,15245929000000.0,20415872000000.0
2022-12-31,066570,4233980000000.0,17623528000000.0,21857508000000.0
2023-12-31,066575,4735228000000.0,18368868000000.0,23104096000000.0
2023-09-30,066575,5011480000000.0,15697860000000.0,20709340000000.0
2023-06-30,066575,4886004000000.0,15112453000000.0,19998457000000.0
2023-03-31,066575,5169943000000.0,15245929000000.0,20415872000000.0
2022-12-31,066575,4233980000000.0,17623528000000.0,21857508000000.0
2023-12-31,037560,266410426960.0,70935206000.0,337345632960.0
2023-09-30,037560,256145070350.0,32506719000.0,288651789350.0
2023-06-30,037560,256957319060.0,29712827000.0,286670146060.0
2023-03-31,037560,240023862470.0,37566018000.0,277589880470.0
2022-12-31,037560,253995783810.0,28553019000.0,282548802810.0
2023-09-30,051910,2317717000000.0,11177109000000.0,13494826000000.0
2023-06-30,051910,2429749000000.0,12111772000000.0,14541521000000.0
2023-03-31,051910,2325137000000.0,12161129000000.0,14486266000000.0
2022-12-31,051910,2195070000000.0,11657244000000.0,13852314000000.0
2023-09-30,051915,2317717000000.0,11177109000000.0,13494826000000.0
2023-06-30,051915,2429749000000.0,12111772000000.0,14541521000000.0
2023-03-31,051915,2325137000000.0,12161129000000.0,14486266000000.0
2022-12-31,051915,2195070000000.0,11657244000000.0,13852314000000.0
2023-09-30,079550,77105654150.0,458869474980.0,535975129130.0
2023-06-30,079550,79661768630.0,466093587420.0,545755356050.0
2023-03-31,079550,105248214050.0,441550817980.0,546799032030.0
2022-12-31,079550,69350043860.0,538450984510.0,607801028370.0
2023-09-30,006260,572186000000.0,5441674000000.0,6013860000000.0
2023-06-30,006260,653905000000.0,5855422000000.0,6509327000000.0
2023-03-31,006260,585378000000.0,5513079000000.0,6098457000000.0
2022-12-31,006260,506673000000.0,5292717000000.0,5799390000000.0
2023-12-31,010120,191283072870.0,839094583830.0,1030377656700.0
2023-09-30,010120,176287513140.0,846273564930.0,1022561078070.0
2023-06-30,010120,216457649770.0,985299869130.0,1201757518900.0
2023-03-31,010120,189405326280.0,786381048490.0,975786374770.0
